City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Port Augusta,AU,-32.5,137.7667,67.53,70,9,3.65,clear sky
119,Sorong,ID,-0.8833,131.25,83.64,69,21,4.0,few clouds
120,Bandiagara,ML,14.3501,-3.6104,84.0,19,9,10.67,clear sky
121,Ust-Nera,RU,64.5667,143.2,20.3,82,100,5.53,overcast clouds
122,Saint-Augustin,CA,51.226,-58.6502,34.48,97,100,8.05,light snow
123,Uporovo,RU,56.3109,66.2693,50.18,75,100,9.42,overcast clouds
124,Hasaki,JP,35.7333,140.8333,72.28,83,100,19.17,heavy intensity rain
125,Hanzhong,CN,33.0728,107.0303,68.59,72,90,2.13,overcast clouds
126,Bredasdorp,ZA,-34.5322,20.0403,53.24,83,0,3.44,clear sky
127,Klaksvik,FO,62.2266,-6.589,34.72,68,75,6.17,broken clouds
128,Ludza,LV,56.55,27.7167,33.67,86,83,4.27,broken clouds
129,Cape Town,ZA,-33.9258,18.4232,59.92,74,0,8.99,clear sky
130,Nove Hrady,CZ,48.7896,14.7784,43.99,90,100,5.28,moderate rain
131,Torrington,US,41.8007,-73.1212,53.83,97,100,1.57,light rain
132,Lerwick,GB,60.1545,-1.1494,37.4,66,99,8.05,overcast clouds
133,Nouadhibou,MR,20.931,-17.0347,64.13,87,0,21.5,clear sky
134,Huilong,CN,31.8111,121.655,63.93,71,100,16.46,overcast clouds
135,Nemuro,JP,43.3236,145.575,44.56,98,100,21.99,overcast clouds
136,Mar Del Plata,AR,-38.0023,-57.5575,64.42,100,75,15.01,thunderstorm with light rain
137,Iralaya,HN,15.0,-83.2333,77.27,86,100,9.95,overcast clouds
138,Plouzane,FR,48.3833,-4.6167,50.05,87,0,11.5,clear sky
139,Neiafu,TO,-18.65,-173.9833,79.48,89,75,4.61,broken clouds
140,Mehamn,NO,71.0357,27.8492,18.91,73,100,28.99,light snow
141,Naspur,IN,18.8333,79.45,88.83,38,39,8.63,scattered clouds
142,Wasilla,US,61.5814,-149.4394,58.55,38,0,0.0,clear sky
143,At-Bashi,KG,41.1702,75.8106,44.28,70,100,2.3,overcast clouds
144,Svetlogorsk,BY,52.6333,29.7333,44.2,80,100,6.6,overcast clouds
145,Jalu,LY,29.0331,21.5482,76.24,19,99,15.28,overcast clouds
146,Jacareacanga,BR,-6.2222,-57.7528,77.32,76,94,0.69,overcast clouds
147,Laguna,US,38.421,-121.4238,79.75,40,0,12.66,clear sky
148,Severo-Kurilsk,RU,50.6789,156.125,33.66,82,100,6.91,overcast clouds
149,Bethel,US,41.3712,-73.414,55.36,93,100,4.0,overcast clouds
